תאריך,סכום,קטגוריה,תת-קטגוריה,תיאור,סוג,משויך לחודש,קטגוריות,סוג חיוב
22/9/2025 12:00am,₪260.00,הוצאות משתנות,מתנות,פרחים לאמא וליובי לחג,הוצאה,October,,ויזה 6346
16/9/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,מנוי חיפה,הוצאה,October,,ויזה 6346
4/10/2025 12:00am,₪10.00,הוצאות משתנות,מתנות,סיכת לב ליובי מדפסת תלת מימד,הוצאה,October,,ויזה 6346
2/10/2025 12:00am,₪180.00,הוצאות משתנות,מתנות,תרומה עמותת לתת,הוצאה,October,,כאל 6660
10/10/2025 12:00am,₪17.90,הוצאות משתנות,אחר,דמי כרטיס,הוצאה,October,,כאל 6660
16/10/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,מנוי חיפה,הוצאה,November,,ויזה 6346
16/10/2025 12:00am,₪120.00,הוצאות משתנות,תספורת,אני ותומר,הוצאה,November,,ויזה 6346
18/10/2025 12:00am,₪124.25,הוצאות משתנות,מתנות,תרומה רום ברסלבסקי,הוצאה,November,,ויזה 6346
24/10/2025 12:00am,₪120.00,הוצאות משתנות,מתנות,פרחים ליובי,הוצאה,November,,ויזה 6346
28/10/2025 12:00am,₪238.00,הוצאות משתנות,מתנות,הספר הכחול לי וליובי,הוצאה,November,,ויזה 6346
29/10/2025 12:00am,₪30.00,הוצאות משתנות,אחר,לוטו,הוצאה,November,,ויזה 6346
26/10/2025 1:00am,₪24.00,הוצאות משתנות,אחר,לוטו,הוצאה,November,,ויזה 6346
30/10/2025 12:00am,₪287.00,הוצאות משתנות,אחר,משתלה עציצים למשרד,הוצאה,November,,ויזה 6346
30/10/2025 12:00am,₪60.00,הוצאות משתנות,תספורת,,הוצאה,November,,ויזה 6346
2/11/2025 12:00am,₪407.00,הוצאות משתנות,מתנות,מתנה יום הולדת לאבא | שובר ספא,הוצאה,November,,ויזה 6346
7/11/2025 12:00am,₪60.00,הוצאות משתנות,תספורת,,הוצאה,November,,ויזה 6346
15/11/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,תשלום 7 מתוך 8,הוצאה,November,,ויזה 6346
15/11/2025 12:00am,₪815.00,הוצאות משתנות,מתנות,מתנה יום הולדת לאבא תשלום 2,הוצאה,November,,ויזה 6346
15/11/2025 12:00am,₪322.00,הוצאות משתנות,מיצי,בדיקה שגרתית וטרינר,הוצאה,November,,ויזה 6346
15/11/2025 12:00am,₪150.00,הוצאות משתנות,מתנות,פרחים ליובי,הוצאה,November,,ויזה 6346
20/11/2025 12:00am,₪233.90,הוצאות משתנות,מתנות,יום כיף למיה ונעליים למיה | קניון רמת אביב,הוצאה,December,,ויזה 6346
20/11/2025 12:00am,₪53.80,הוצאות משתנות,אחר,שליחת לוטו פעמיים,הוצאה,December,,ויזה 6346
21/11/2025 12:00am,₪60.00,הוצאות משתנות,תספורת,,הוצאה,December,,ויזה 6346
23/11/2025 12:00am,₪360.00,הוצאות משתנות,מיצי,2 שקי חול ושק אוכל,הוצאה,December,,ויזה 6346
23/11/2025 12:00am,₪198.00,הוצאות משתנות,מיצי,שימורים ושקיות שירותים,הוצאה,December,,ויזה 6346
28/11/2025 12:00am,₪80.00,הוצאות משתנות,מתנות,פרחים ליובי,הוצאה,December,,ויזה 6346
9/12/2025 12:00am,₪60.00,הוצאות משתנות,תספורת,,הוצאה,December,,ויזה 6346
15/12/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,מנוי חיפה תשלום 8 מתוך 8,הוצאה,December,,ויזה 6346
2/1/2026 12:00am,₪60.00,הוצאות משתנות,מתנות,פרחים ליובי,הוצאה,January,,ויזה 6346
2/1/2026 12:00am,₪60.00,הוצאות משתנות,תספורת,,הוצאה,January,,ויזה 6346
11/1/2026 12:00am,₪24.66,הוצאות משתנות,אחר,עמלות ביט,הוצאה,January,,ויזה 6346
13/1/2026 12:00am,₪60.00,הוצאות משתנות,תספורת,,הוצאה,January,,ויזה 6346
9/9/2025 12:00am,₪7007.00,הכנסות,זיכויים,זיכוי כרטיסי טיסה אלעל אחרי הורדות אשראי כאל,הכנסה,September,,כאל 6660
10/5/2025 12:00am,₪3457.00,הכנסות,יובי העברות,,הכנסה,May,,העברה בנקאית
10/5/2025 12:00am,₪14000.00,הכנסות,משכורת,,הכנסה,May,,צ'ק
10/8/2025 12:00am,₪3276.00,הכנסות,יובי העברות,,הכנסה,August,,העברה בנקאית
10/6/2025 12:00am,₪14000.00,הכנסות,משכורת,,הכנסה,June,,צ'ק
3/8/2025 12:00am,₪500.00,הכנסות,הכנסות חד פעמיות,החזר מזומן של אבא של ממירים,הכנסה,August,,מזומן
1/8/2025 12:00am,₪20173.00,הכנסות,משכורת,משכורת יולי,הכנסה,August,,צ'ק
10/4/2025 12:00am,₪3024.00,הכנסות,יובי העברות,,הכנסה,April,,העברה בנקאית
10/2/2025 12:00am,₪3150.00,הכנסות,יובי העברות,,הכנסה,February,,העברה בנקאית
17/9/2025 12:00am,₪3800.00,הכנסות,יובי העברות,העברה על אוגוסט-ספטמבר,הכנסה,October,,העברה בנקאית
10/3/2025 12:00am,₪3500.00,הכנסות,יובי העברות,,הכנסה,March,,העברה בנקאית
10/1/2025 12:00am,₪2000.00,הכנסות,יובי העברות,,הכנסה,January,,העברה בנקאית
10/2/2025 12:00am,₪14000.00,הכנסות,משכורת,,הכנסה,February,,צ'ק
10/1/2025 12:00am,₪408.00,הכנסות,ביט+פייבוקס,,הכנסה,January,,ביט/פייבוקס
10/8/2025 12:00am,₪14000.00,הכנסות,משכורת,,הכנסה,August,,צ'ק
10/3/2025 12:00am,₪105.00,הכנסות,ביט+פייבוקס,,הכנסה,March,,ביט/פייבוקס
10/2/2025 12:00am,₪480.00,הכנסות,ביט+פייבוקס,,הכנסה,February,,ביט/פייבוקס
10/3/2025 12:00am,₪480.00,הכנסות,עסק צדדי,עיצוב מודעות יובל פיננסים,הכנסה,March,,מזומן
10/4/2025 12:00am,₪460.00,הכנסות,ביט+פייבוקס,,הכנסה,April,,ביט/פייבוקס
10/4/2025 12:00am,₪21663.00,הכנסות,משכורת,,הכנסה,April,,צ'ק
10/7/2025 12:00am,₪14000.00,הכנסות,משכורת,,הכנסה,July,,צ'ק
10/1/2025 12:00am,₪12800.00,הכנסות,משכורת,,הכנסה,January,,צ'ק
10/2/2025 12:00am,₪240.00,הכנסות,זיכויים,,הכנסה,February,,ויזה 6346
10/5/2025 12:00am,₪1000.00,הכנסות,הכנסות חד פעמיות,,הכנסה,May,,העברה בנקאית
10/6/2025 12:00am,₪3000.00,הכנסות,יובי העברות,,הכנסה,June,,העברה בנקאית
9/9/2025 12:00am,₪14000.00,הכנסות,משכורת,,הכנסה,September,,צ'ק
10/3/2025 12:00am,₪14000.00,הכנסות,משכורת,,הכנסה,March,,צ'ק
10/5/2025 12:00am,₪809.00,הכנסות,זיכויים,,הכנסה,May,,ויזה 6346
10/7/2025 12:00am,₪3092.00,הכנסות,יובי העברות,,הכנסה,July,,העברה בנקאית
20/9/2025 12:00am,₪500.00,הכנסות,הכנסות חד פעמיות,מתנה לחתונה משפחת רייזמן,הכנסה,October,,ביט/פייבוקס
26/9/2025 12:00am,₪800.00,הכנסות,הכנסות חד פעמיות,מכירה של שני המסכים,הכנסה,October,,ביט/פייבוקס
28/9/2025 12:00am,₪1200.00,הכנסות,עסק צדדי,תשלום 2 דף נחיתה אלפא-טק,הכנסה,October,,ביט/פייבוקס
12/10/2025 12:00am,₪14000.00,הכנסות,משכורת,,הכנסה,October,,העברה בנקאית
12/10/2025 12:00am,₪3600.00,הכנסות,יובי העברות,,הכנסה,October,,העברה בנקאית
26/10/2025 1:00am,₪500.00,הכנסות,הכנסות חד פעמיות,מענק לאומי,הכנסה,November,,העברה בנקאית
23/10/2025 12:00am,₪400.00,הכנסות,הכנסות חד פעמיות,העברת ביט,הכנסה,November,,ביט/פייבוקס
13/11/2025 12:00am,₪3892.00,הכנסות,יובי העברות,,הכנסה,November,,העברה בנקאית
10/11/2025 12:00am,₪15664.00,הכנסות,משכורת,הוספה של דמי הבראה,הכנסה,November,,העברה בנקאית
7/11/2025 12:00am,₪800.00,הכנסות,ביט+פייבוקס,יובל ודור העברות למתנה של אבא,הכנסה,November,,ביט/פייבוקס
14/11/2025 12:00am,₪500.00,הכנסות,ביט+פייבוקס,מכירת שולחן מחשב,הכנסה,November,,ביט/פייבוקס
27/11/2025 12:00am,₪4665.00,הכנסות,הכנסות חד פעמיות,העברה מחשבון משותף מלונות תאילנד,הכנסה,December,,העברה בנקאית
9/12/2025 12:00am,₪2900.00,הכנסות,עסק צדדי,עיצוב מחדש אתר פיני,הכנסה,December,,ביט/פייבוקס
9/12/2025 12:00am,₪14951.00,הכנסות,משכורת,,הכנסה,December,,העברה בנקאית
9/12/2025 12:00am,₪3240.00,הכנסות,הכנסות חד פעמיות,העברה מחשבון משותף מלונות תאילנד,הכנסה,December,,העברה בנקאית
23/12/2025 12:00am,₪111.00,הכנסות,זיכויים,זיכוי השכרת רכב פוקט,הכנסה,January,,ויזה 6346
24/12/2025 12:00am,₪1052.00,הכנסות,הכנסות חד פעמיות,העברה מחשבון משותף מלון בנגקוק,הכנסה,January,,העברה בנקאית
10/1/2026 12:00am,₪12687.00,הכנסות,משכורת,,הכנסה,January,,הוראת קבע
3/7/2025 12:00am,₪740.00,חתונה,הלבשה,חליפה תשלום 2,הוצאה,July,,ויזה 6346
5/8/2025 12:00am,₪132.00,חתונה,הלבשה,מטפחות מtemu,הוצאה,August,,ויזה 6346
1/9/2025 12:00am,₪740.00,חתונה,הלבשה,חליפה | תשלום 3 מתוך 3,הוצאה,September,,ויזה 6346
14/8/2025 12:00am,₪740.00,חתונה,הלבשה,חליפת תשלום 1,הוצאה,August,,ויזה 6346
16/9/2025 12:00am,₪584.00,חתונה,עיצוב,דפוס הזמנות תפריטים ושלט לכניסה,הוצאה,October,,ויזה 6346
17/9/2025 12:00am,₪230.00,חתונה,הלבשה,חולצה זארה,הוצאה,October,,ויזה 6346
1/9/2025 12:00am,₪474.00,חתונה,הלבשה,נעליים בוס | תשלום 2 מתוך 2,הוצאה,September,,ויזה 6346
16/9/2025 12:00am,₪1450.00,חתונה,הלבשה,טבעות נישואין ,הוצאה,October,,העברה בנקאית
20/7/2025 12:00am,₪475.00,חתונה,הלבשה,נעליים תשלום 1,הוצאה,August,,ויזה 6346
12/8/2025 12:00am,₪500.00,חתונה,מקדמות,מקדמה טבעות נישואין | מזומן,הוצאה,August,,מזומן
4/6/2025 12:00am,₪10000.00,חתונה,מקדמות,מקדמה לאולם,הוצאה,June,,צ'ק
21/9/2025 12:00am,₪202.00,חתונה,הלבשה,בגדים לשבת חתן,הוצאה,October,,ויזה 6346
21/9/2025 12:00am,₪166.00,חתונה,הלבשה,נעליים לאבא,הוצאה,October,,ויזה 6346
5/10/2025 12:00am,₪218.00,חתונה,עיצוב,זר כלה ליובי,הוצאה,October,,ויזה 6346
10/10/2025 12:00am,₪102.00,חתונה,עיצוב,תמונות לקבלת פנים,הוצאה,October,,כאל 6660
15/10/2025 12:00am,₪95.00,חתונה,בגדים,כיפות לכולם,הוצאה,October,,ויזה 6346
16/10/2025 12:00am,₪7.00,חתונה,מקדמות,מעטפות,הוצאה,November,,ויזה 6346
7/11/2025 12:00am,₪166.12,חתונה,ספקים,עמלות ביט על מתנות לחתונה,הוצאה,November,,ויזה 6346
1/2/2025 12:00am,₪218.00,טיפוח אישי,בגדים,אין,הוצאה,February,,ויזה 6346
1/5/2025 12:00am,₪541.00,טיפוח אישי,בגדים,אין,הוצאה,May,,ויזה 6346
24/8/2025 12:00am,₪230.00,טיפוח אישי,פארם וטיפוח,,הוצאה,September,,ויזה 6346
1/4/2025 12:00am,₪690.00,טיפוח אישי,בגדים,אין,הוצאה,April,,ויזה 6346
1/6/2025 12:00am,₪280.00,טיפוח אישי,בגדים,אין,הוצאה,June,,ויזה 6346
22/8/2025 12:00am,₪250.00,טיפוח אישי,בגדים,חולצה מכבי חיפה,הוצאה,September,,ויזה 6346
1/7/2025 12:00am,₪243.00,טיפוח אישי,בגדים,אין,הוצאה,July,,ויזה 6346
26/9/2025 12:00am,₪60.00,טיפוח אישי,תספורת,,הוצאה,October,,ויזה 6346
10/10/2025 12:00am,₪142.00,טיפוח אישי,פארם וטיפוח,,הוצאה,October,,כאל 6660
13/10/2025 12:00am,₪221.97,טיפוח אישי,בגדים,אסוס,הוצאה,October,,ויזה 6346
1/4/2025 12:00am,₪70.00,עסקי,כלים לעבודה,פוטושופ,הוצאה,April,,ויזה 6346
1/6/2025 12:00am,₪54.00,עסקי,הוצאות שיווק,פייסבוק אדס,הוצאה,June,,ויזה 6346
17/9/2025 12:00am,₪86.00,עסקי,כלים לעבודה,Lovable,הוצאה,October,,ויזה 6346
1/2/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,February,,ויזה 6346
1/1/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,January,,ויזה 6346
1/4/2025 12:00am,₪39.00,עסקי,כלים לעבודה,Make,הוצאה,April,,ויזה 6346
1/7/2025 12:00am,₪250.00,עסקי,הוצאות שיווק,פייסבוק אדס,הוצאה,July,,ויזה 6346
1/1/2025 12:00am,₪45.00,עסקי,כלים לעבודה,Green API,הוצאה,January,,ויזה 6346
1/4/2025 12:00am,₪30.00,עסקי,כלים לעבודה,iCount,הוצאה,April,,ויזה 6346
1/3/2025 12:00am,₪45.00,עסקי,כלים לעבודה,Green API,הוצאה,March,,ויזה 6346
1/5/2025 12:00am,₪50.00,עסקי,כלים לעבודה,קאנבה,הוצאה,May,,ויזה 6346
1/4/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,April,,ויזה 6346
30/7/2025 12:00am,₪508.00,עסקי,תשלום לספקים,עיצוב דף נחיתה אושרי,הוצאה,August,,ויזה 6346
31/8/2025 12:00am,₪402.00,עסקי,כלים לעבודה,אלמנטור פרו חידוש שנתי,הוצאה,September,,ויזה 6346
28/8/2025 12:00am,₪45.00,עסקי,כלים לעבודה,קאנבה,הוצאה,September,,ויזה 6346
1/2/2025 12:00am,₪148.00,עסקי,כלים לעבודה,AI,הוצאה,February,,ויזה 6346
1/3/2025 12:00am,₪94.00,עסקי,כלים לעבודה,פייפלוס סליקה,הוצאה,March,,ויזה 6346
1/5/2025 12:00am,₪145.00,עסקי,הוצאות שיווק,פייסבוק אדס,הוצאה,May,,ויזה 6346
1/6/2025 12:00am,₪50.00,עסקי,כלים לעבודה,קאנבה,הוצאה,June,,ויזה 6346
12/8/2025 12:00am,₪103.00,עסקי,כלים לעבודה,OpenAI 3 חודשים קדימה,הוצאה,August,,ויזה 6346
1/2/2025 12:00am,₪370.00,עסקי,כלים לעבודה,פייפלוס סליקה,הוצאה,February,,ויזה 6346
1/2/2025 12:00am,₪30.00,עסקי,כלים לעבודה,iCount,הוצאה,February,,ויזה 6346
30/7/2025 12:00am,₪163.00,עסקי,כלים לעבודה,חידוש דומיין idanalush.digital,הוצאה,August,,ויזה 6346
1/7/2025 12:00am,₪39.00,עסקי,כלים לעבודה,Make,הוצאה,July,,ויזה 6346
1/6/2025 12:00am,₪38.00,עסקי,כלים לעבודה,iCount,הוצאה,June,,ויזה 6346
1/1/2025 12:00am,₪70.00,עסקי,כלים לעבודה,פוטושופ,הוצאה,January,,ויזה 6346
1/5/2025 12:00am,₪38.00,עסקי,כלים לעבודה,iCount,הוצאה,May,,ויזה 6346
1/5/2025 12:00am,₪39.00,עסקי,כלים לעבודה,Make,הוצאה,May,,ויזה 6346
1/7/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,July,,ויזה 6346
1/3/2025 12:00am,₪75.00,עסקי,כלים לעבודה,AI,הוצאה,March,,ויזה 6346
1/3/2025 12:00am,₪747.00,עסקי,הוצאות שיווק,פייסבוק אדס,הוצאה,March,,ויזה 6346
12/8/2025 12:00am,₪33.00,עסקי,כלים לעבודה,הוסטינגר דומיין,הוצאה,August,,ויזה 6346
1/7/2025 12:00am,₪50.00,עסקי,כלים לעבודה,קאנבה,הוצאה,July,,ויזה 6346
1/6/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,June,,ויזה 6346
1/4/2025 12:00am,₪140.00,עסקי,כלים לעבודה,Green API,הוצאה,April,,ויזה 6346
1/1/2025 12:00am,₪50.00,עסקי,כלים לעבודה,קאנבה,הוצאה,January,,ויזה 6346
1/2/2025 12:00am,₪15.00,עסקי,כלים לעבודה,Green API,הוצאה,February,,ויזה 6346
31/7/2025 12:00am,₪70.00,עסקי,כלים לעבודה,פוטושופ,הוצאה,August,,ויזה 6346
1/2/2025 12:00am,₪50.00,עסקי,כלים לעבודה,קאנבה,הוצאה,February,,ויזה 6346
17/4/2025 12:00am,₪354.00,עסקי,כלים לעבודה,עסקים עושים עסקים,הוצאה,May,,ויזה 6346
1/9/2025 12:00am,₪38.00,עסקי,כלים לעבודה,iCount,הוצאה,September,,ויזה 6346
1/4/2025 12:00am,₪75.00,עסקי,כלים לעבודה,AI,הוצאה,April,,ויזה 6346
1/4/2025 12:00am,₪50.00,עסקי,כלים לעבודה,קאנבה,הוצאה,April,,ויזה 6346
29/7/2025 12:00am,₪128.00,עסקי,כלים לעבודה,Formflow בונה טפסים חכמים,הוצאה,August,,ויזה 6346
20/8/2025 12:00am,₪202.00,עסקי,כלים לעבודה,צאט AI שנרשמתי בטעות,הוצאה,September,,ויזה 6346
28/7/2025 12:00am,₪45.00,עסקי,כלים לעבודה,קאנבה,הוצאה,August,,ויזה 6346
31/8/2025 12:00am,₪70.00,עסקי,כלים לעבודה,פוטושופ,הוצאה,September,,ויזה 6346
1/4/2025 12:00am,₪94.00,עסקי,כלים לעבודה,פייפלוס סליקה,הוצאה,April,,ויזה 6346
1/8/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,August,,ויזה 6346
20/8/2025 12:00am,₪37.00,עסקי,כלים לעבודה,MAKE,הוצאה,September,,ויזה 6346
1/2/2025 12:00am,₪70.00,עסקי,כלים לעבודה,פוטושופ,הוצאה,February,,ויזה 6346
1/5/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,May,,ויזה 6346
2/8/2025 12:00am,₪38.00,עסקי,כלים לעבודה,iCount,הוצאה,August,,ויזה 6346
1/7/2025 12:00am,₪38.00,עסקי,כלים לעבודה,iCount,הוצאה,July,,ויזה 6346
1/7/2025 12:00am,₪37.00,עסקי,כלים לעבודה,Captions,הוצאה,July,,ויזה 6346
1/7/2025 12:00am,₪33.00,עסקי,כלים לעבודה,פוטושופ,הוצאה,July,,ויזה 6346
17/8/2025 12:00am,₪87.00,עסקי,כלים לעבודה,Lovable,הוצאה,September,,ויזה 6346
1/3/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,March,,ויזה 6346
1/1/2025 12:00am,₪48.00,עסקי,כלים לעבודה,Hostinger,הוצאה,January,,ויזה 6346
1/1/2025 12:00am,₪30.00,עסקי,כלים לעבודה,iCount,הוצאה,January,,ויזה 6346
1/3/2025 12:00am,₪50.00,עסקי,כלים לעבודה,קאנבה,הוצאה,March,,ויזה 6346
1/5/2025 12:00am,₪75.00,עסקי,כלים לעבודה,AI,הוצאה,May,,ויזה 6346
1/3/2025 12:00am,₪30.00,עסקי,כלים לעבודה,iCount,הוצאה,March,,ויזה 6346
1/6/2025 12:00am,₪39.00,עסקי,כלים לעבודה,Make,הוצאה,June,,ויזה 6346
1/6/2025 12:00am,₪37.00,עסקי,כלים לעבודה,Captions,הוצאה,June,,ויזה 6346
1/6/2025 12:00am,₪142.00,עסקי,כלים לעבודה,AI,הוצאה,June,,ויזה 6346
1/3/2025 12:00am,₪39.00,עסקי,כלים לעבודה,Make,הוצאה,March,,ויזה 6346
1/9/2025 12:00am,₪38.00,עסקי,כלים לעבודה,iCount,הוצאה,September,,ויזה 6346
11/9/2025 12:00am,₪1475.00,עסקי,לימודים,רועי,הוצאה,September,,ויזה 6346
1/4/2025 12:00am,₪101.00,עסקי,הוצאות שיווק,פייסבוק אדס,הוצאה,April,,ויזה 6346
1/5/2025 12:00am,₪34.00,עסקי,כלים לעבודה,Hostinger,הוצאה,May,,ויזה 6346
24/9/2025 12:00am,₪343.00,עסקי,כלים לעבודה,פונט פינג לאתר,הוצאה,October,,ויזה 6346
20/9/2025 12:00am,₪36.00,עסקי,כלים לעבודה,MAKE,הוצאה,October,,ויזה 6346
29/9/2025 12:00am,₪410.00,עסקי,כלים לעבודה,קאנבה מנוי שנתי,הוצאה,October,,ויזה 6346
30/9/2025 12:00am,₪70.00,עסקי,כלים לעבודה,אדובי פוטושופ,הוצאה,October,,ויזה 6346
1/10/2025 12:00am,₪37.00,עסקי,כלים לעבודה,iCount,הוצאה,October,,ויזה 6346
11/10/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק ,הוצאה,October,,הוראת קבע
1/11/2025 12:00am,₪37.76,עסקי,כלים לעבודה,iCount,הוצאה,November,,ויזה 6346
3/11/2025 12:00am,₪32.00,עסקי,לימודים,ספר השקעות לעצלנים,הוצאה,November,,ויזה 6346
4/11/2025 12:00am,₪263.73,עסקי,כלים לעבודה,פונטים בעברית פונטאפ,הוצאה,November,,ויזה 6346
4/11/2025 12:00am,₪70.00,עסקי,כלים לעבודה,פוטושופ,הוצאה,November,,ויזה 6346
5/11/2025 12:00am,₪19.37,עסקי,כלים לעבודה,Softgen AI,הוצאה,November,,ויזה 6346
5/11/2025 12:00am,₪67.01,עסקי,כלים לעבודה,OpenAi API Tokens,הוצאה,November,,ויזה 6346
8/11/2025 12:00am,₪38.00,עסקי,לימודים,ספר עידו חגג,הוצאה,November,,ויזה 6346
11/11/2025 12:00am,₪1475.00,עסקי,לימודים,רועי ריבק,הוצאה,November,,ויזה 6346
12/11/2025 12:00am,₪65.92,עסקי,כלים לעבודה,OpenAI API,הוצאה,November,,ויזה 6346
15/11/2025 12:00am,₪263.73,עסקי,כלים לעבודה,פונטים תשלום 2,הוצאה,November,,ויזה 6346
25/11/2025 12:00am,₪703.20,עסקי,כלים לעבודה,מנוי שנתי Freepik,הוצאה,December,,ויזה 6346
8/11/2025 12:00am,₪109.79,עסקי,כלים לעבודה,SOFTGEN AI,הוצאה,November,,ויזה 6346
1/12/2025 12:00am,₪37.76,עסקי,תשלום לספקים,iCount,הוצאה,December,,ויזה 6346
30/11/2025 12:00am,₪70.00,עסקי,כלים לעבודה,Adobe Photoshop,הוצאה,December,,ויזה 6346
12/12/2025 12:00am,₪65.96,עסקי,כלים לעבודה,GPT,הוצאה,December,,ויזה 6346
1/1/2026 12:00am,₪37.76,עסקי,ספקים,iCount,הוצאה,January,,ויזה 6346
4/1/2026 12:00am,₪59.00,עסקי,לימודים,שיווק שותפים,הוצאה,January,,ויזה 6346
12/1/2026 12:00am,₪65.00,עסקי,כלים לעבודה,ChatGPT,הוצאה,January,,ויזה 6346
9/1/2026 12:00am,₪337.00,עסקי,הוצאות שיווק,PropellorADS,הוצאה,January,,ויזה 6346
31/12/2025 12:00am,₪70.00,עסקי,כלים לעבודה,Adobe,הוצאה,January,,ויזה 6346
14/7/2025 12:00am,₪470.00,פנאי,חופשות,מלון דניאל תשלום 1,הוצאה,July,,ויזה 6346
1/1/2025 12:00am,₪1711.00,פנאי,חופשות,צימר בעכו חגיגות שנה,הוצאה,January,,ויזה 6346
14/9/2025 12:00am,₪343.00,פנאי,תאילנד,תאילנד טיסת פנים בנגקוק לצאנג מאי,הוצאה,September,,ויזה 6346
15/9/2025 12:00am,₪124.00,פנאי,תאילנד,רכב שכור פוקט לקראבי,הוצאה,September,,ויזה 6346
14/7/2025 12:00am,₪9.00,פנאי,בילויים,,הוצאה,July,,ויזה 6346
14/7/2025 12:00am,₪161.00,פנאי,בילויים,סרט יום הולדת ליובי,הוצאה,July,,ויזה 6346
1/1/2025 12:00am,₪699.00,פנאי,טיולים,אין,הוצאה,January,,ויזה 6346
15/9/2025 12:00am,₪924.00,פנאי,תאילנד,תאילנד טיסה קוסמוי לפוקט,הוצאה,September,,ויזה 6346
13/9/2025 12:00am,₪380.00,פנאי,תאילנד,מלון לילה בנגקוק,הוצאה,September,,ויזה 6346
11/8/2025 12:00am,₪2635.00,פנאי,תאילנד,תשלום 1 מתוך 5 | טיסה לתאילנד אלעל | כסף שזוכה,הוצאה,August,,כאל 6660
1/9/2025 12:00am,₪470.00,פנאי,בילויים,מלון דניאל יום הולדת יובי | תשלום 2 מתוך 2,הוצאה,September,,ויזה 6346
1/4/2025 12:00am,₪1306.00,פנאי,חופשות,מלון ים סוף,הוצאה,April,,ויזה 6346
1/5/2025 12:00am,₪1306.00,פנאי,חופשות,מלון ים סוף,הוצאה,May,,ויזה 6346
1/6/2025 12:00am,₪1589.00,פנאי,חופשות,מלון ים סוף,הוצאה,June,,ויזה 6346
19/9/2025 12:00am,₪508.00,פנאי,תאילנד,תאילנד | טיסה קראבי לבנגקוק,הוצאה,October,,ויזה 6346
