קטגוריות,תת-קטגוריות,כל התנועות,הוצאות קבועות,כל התנועות יובי
הכנסות,"משכורת,יובי העברות,ביט+פייבוקס,זיכויים,עסק צדדי,הכנסות חד פעמיות","16/9/2025 9:00pm,9/4/2025 9:00pm,9/5/2025 9:00pm,9/4/2025 9:00pm,9/8/2025 9:00pm,9/1/2025 10:00pm,31/7/2025 9:00pm,9/5/2025 9:00pm,9/7/2025 9:00pm,9/6/2025 9:00pm,9/2/2025 10:00pm,9/5/2025 9:00pm,9/2/2025 10:00pm,8/9/2025 9:00pm,8/9/2025 9:00pm,9/2/2025 10:00pm,9/3/2025 10:00pm,2/8/2025 9:00pm,9/1/2025 10:00pm,9/3/2025 10:00pm,9/8/2025 9:00pm,9/4/2025 9:00pm,9/7/2025 9:00pm,9/3/2025 10:00pm,9/3/2025 10:00pm,9/6/2025 9:00pm,9/1/2025 10:00pm,9/2/2025 10:00pm,9/5/2025 9:00pm,19/9/2025 9:00pm,25/9/2025 9:00pm,27/9/2025 9:00pm,11/10/2025 9:00pm,11/10/2025 9:00pm,25/10/2025 11:00pm,22/10/2025 9:00pm,12/11/2025 10:00pm,9/11/2025 10:00pm,6/11/2025 10:00pm,13/11/2025 10:00pm,26/11/2025 10:00pm,8/12/2025 10:00pm,8/12/2025 10:00pm,8/12/2025 10:00pm,22/12/2025 10:00pm,23/12/2025 10:00pm,9/1/2026 10:00pm,4/2/2026 8:17am,10/2/2026 7:38pm,9/3/2026 11:42pm",,
בית,"שכר דירה,חשמל,תיקונים,רהיטים,מכשירי חשמל,אלי אקספרס,מים","31/7/2025 9:00pm,2/8/2025 9:00pm,31/3/2025 9:00pm,18/8/2025 9:00pm,30/6/2025 9:00pm,31/3/2025 9:00pm,31/1/2025 10:00pm,30/6/2025 9:00pm,30/4/2025 9:00pm,7/9/2025 9:00pm,9/9/2025 9:00pm,31/3/2025 9:00pm,9/8/2025 9:00pm,30/4/2025 9:00pm,31/7/2025 9:00pm,28/2/2025 10:00pm,28/2/2025 10:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,31/1/2025 10:00pm,2/8/2025 9:00pm,31/5/2025 9:00pm,31/7/2025 9:00pm,25/9/2025 9:00pm,1/10/2025 9:00pm,5/10/2025 9:00pm,9/10/2025 9:00pm,12/10/2025 9:00pm,15/10/2025 9:00pm,14/10/2025 9:00pm,24/10/2025 9:00pm,27/10/2025 10:00pm,9/11/2025 10:00pm,6/11/2025 10:00pm,23/10/2025 9:00pm,7/11/2025 10:00pm,14/11/2025 10:00pm,9/12/2025 10:00pm,5/1/2026 10:00pm,31/12/2025 10:00pm,6/1/2026 10:00pm,9/1/2026 10:00pm,9/1/2026 10:00pm,3/2/2026 6:58pm,10/2/2026 11:12pm,16/1/2026 6:18pm,6/3/2026 8:26am,13/3/2026 1:03am,13/3/2026 1:05am,10/3/2026 12:56pm","שכר דירה,חשמל,פרעון הלוואה יובי","21/2/2026 5:51pm,26/2/2026 6:18pm,13/3/2026 3:54pm,13/3/2026 3:55pm"
רכב,"ביטוח,דלק,חניה,דוחות,טסט,טיפולים,תיקונים,שטיפה,כביש 6","31/3/2025 9:00pm,31/1/2025 10:00pm,23/8/2025 9:00pm,22/7/2025 9:00pm,13/9/2025 9:00pm,31/1/2025 10:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,8/9/2025 9:00pm,31/3/2025 9:00pm,31/3/2025 9:00pm,31/7/2025 9:00pm,30/8/2025 9:00pm,31/5/2025 9:00pm,30/6/2025 9:00pm,30/6/2025 9:00pm,30/6/2025 9:00pm,30/6/2025 9:00pm,28/2/2025 10:00pm,28/2/2025 10:00pm,20/8/2025 9:00pm,23/6/2025 9:00pm,30/6/2025 9:00pm,18/8/2025 9:00pm,28/2/2025 10:00pm,18/8/2025 9:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,30/4/2025 9:00pm,13/9/2025 9:00pm,30/4/2025 9:00pm,30/6/2025 9:00pm,3/8/2025 9:00pm,26/7/2025 9:00pm,30/6/2025 9:00pm,10/9/2025 9:00pm,20/7/2025 9:00pm,18/8/2025 9:00pm,24/8/2025 9:00pm,30/4/2025 9:00pm,26/8/2025 9:00pm,31/5/2025 9:00pm,8/9/2025 9:00pm,17/7/2025 9:00pm,29/8/2025 9:00pm,29/8/2025 9:00pm,18/8/2025 9:00pm,31/8/2025 9:00pm,31/1/2025 10:00pm,31/5/2025 9:00pm,28/2/2025 10:00pm,31/5/2025 9:00pm,23/9/2025 9:00pm,20/9/2025 9:00pm,2/10/2025 9:00pm,7/10/2025 9:00pm,9/10/2025 9:00pm,11/10/2025 9:00pm,11/10/2025 9:00pm,14/10/2025 9:00pm,22/10/2025 9:00pm,28/10/2025 10:00pm,25/10/2025 11:00pm,3/11/2025 10:00pm,8/11/2025 10:00pm,14/11/2025 10:00pm,17/11/2025 10:00pm,19/11/2025 10:00pm,27/11/2025 10:00pm,4/12/2025 10:00pm,4/12/2025 10:00pm,7/12/2025 10:00pm,14/1/2026 10:00pm,9/1/2026 10:00pm,7/2/2026 12:08pm,8/2/2026 8:01am,26/1/2026 6:34pm,27/1/2026 6:42pm,30/1/2026 6:49pm,10/2/2026 6:58pm,19/2/2026 6:14pm,20/2/2026 2:59pm,26/2/2026 10:55am,1/3/2026 6:50pm,17/3/2026 12:53pm,18/3/2026 4:04pm,14/12/2025 10:00pm,14/2/2026 10:00pm,14/3/2026 10:00pm,13/3/2026 6:56pm","ביטוח רכב,דלק,ביטוח רכב יובי","19/2/2026 6:59am,6/3/2026 12:10pm,17/3/2026 12:55pm"
אוכל,"סופר,אוכל בחוץ,מסעדות ומשלוחים,מזדמנים","6/8/2025 9:00pm,19/8/2025 9:00pm,30/6/2025 9:00pm,29/8/2025 9:00pm,18/8/2025 9:00pm,30/7/2025 9:00pm,8/9/2025 9:00pm,27/8/2025 9:00pm,31/5/2025 9:00pm,10/8/2025 9:00pm,30/4/2025 9:00pm,8/9/2025 9:00pm,29/8/2025 9:00pm,25/7/2025 9:00pm,29/8/2025 9:00pm,23/7/2025 9:00pm,17/8/2025 9:00pm,18/8/2025 9:00pm,29/8/2025 9:00pm,15/9/2025 9:00pm,17/7/2025 9:00pm,31/1/2025 10:00pm,20/8/2025 9:00pm,29/8/2025 9:00pm,3/9/2025 9:00pm,15/9/2025 9:00pm,18/8/2025 9:00pm,23/8/2025 9:00pm,10/9/2025 9:00pm,29/8/2025 9:00pm,28/2/2025 10:00pm,28/8/2025 9:00pm,22/8/2025 9:00pm,2/9/2025 9:00pm,16/9/2025 9:00pm,9/8/2025 9:00pm,30/4/2025 9:00pm,28/2/2025 10:00pm,19/7/2025 9:00pm,31/5/2025 9:00pm,31/3/2025 9:00pm,15/7/2025 9:00pm,14/8/2025 9:00pm,20/8/2025 9:00pm,29/8/2025 9:00pm,30/4/2025 9:00pm,31/12/2024 10:00pm,31/3/2025 9:00pm,12/8/2025 9:00pm,31/1/2025 10:00pm,19/8/2025 9:00pm,30/7/2025 9:00pm,18/8/2025 9:00pm,13/9/2025 9:00pm,13/9/2025 9:00pm,8/8/2025 9:00pm,30/6/2025 9:00pm,13/7/2025 9:00pm,31/12/2024 10:00pm,22/7/2025 9:00pm,3/8/2025 9:00pm,29/9/2025 9:00pm,30/9/2025 9:00pm,4/10/2025 9:00pm,7/10/2025 9:00pm,7/10/2025 9:00pm,8/10/2025 9:00pm,11/10/2025 9:00pm,9/10/2025 9:00pm,9/10/2025 9:00pm,15/10/2025 9:00pm,14/10/2025 9:00pm,15/10/2025 9:00pm,16/10/2025 9:00pm,21/10/2025 9:00pm,22/10/2025 9:00pm,28/10/2025 10:00pm,25/10/2025 11:00pm,30/10/2025 10:00pm,31/10/2025 10:00pm,4/11/2025 10:00pm,5/11/2025 10:00pm,8/11/2025 10:00pm,11/11/2025 10:00pm,12/11/2025 10:00pm,12/11/2025 10:00pm,12/11/2025 10:00pm,6/11/2025 10:00pm,14/11/2025 10:00pm,17/11/2025 10:00pm,18/11/2025 10:00pm,16/11/2025 10:00pm,21/11/2025 10:00pm,22/11/2025 10:00pm,25/11/2025 10:00pm,26/11/2025 10:00pm,13/12/2025 10:00pm,13/12/2025 10:00pm,27/11/2025 10:00pm,3/12/2025 10:00pm,4/12/2025 10:00pm,6/12/2025 10:00pm,30/12/2025 10:00pm,29/12/2025 10:00pm,14/12/2025 10:00pm,17/12/2025 10:00pm,3/1/2026 10:00pm,4/1/2026 10:00pm,6/1/2026 10:00pm,7/1/2026 10:00pm,3/2/2026 1:28pm,7/2/2026 5:19pm,9/2/2026 6:12pm,11/2/2026 6:01pm,12/2/2026 11:22am,13/2/2026 6:34am,13/2/2026 7:41am,13/2/2026 11:27am,13/2/2026 7:45pm,14/2/2026 9:02am,14/2/2026 10:58am,14/2/2026 1:59pm,17/1/2026 6:19pm,22/1/2026 6:24pm,22/1/2026 11:22am,24/1/2026 6:27pm,28/1/2026 6:44pm,29/1/2026 6:46pm,14/2/2026 7:18pm,20/2/2026 2:42pm,24/2/2026 10:23pm,25/2/2026 12:05pm,26/2/2026 12:23pm,28/2/2026 8:36am,1/3/2026 9:21am,2/3/2026 7:27am,2/3/2026 7:33am,4/3/2026 9:18pm,4/3/2026 9:24pm,7/3/2026 11:16am,8/3/2026 10:22am,12/3/2026 1:25pm,12/3/2026 8:19pm,12/3/2026 8:35pm,13/3/2026 11:42am,13/3/2026 11:45am,14/3/2026 11:29am,16/3/2026 12:14pm","אוכל,אספרסו","17/2/2026 8:21pm,21/2/2026 5:50pm,23/2/2026 9:54am,24/2/2026 9:33am,26/2/2026 6:27pm,27/2/2026 12:53pm,27/2/2026 12:54pm,1/3/2026 8:52pm,2/3/2026 7:13am,4/3/2026 9:52am,4/3/2026 1:23pm,4/3/2026 6:32pm,6/3/2026 10:51am,10/3/2026 10:42am,10/3/2026 11:19am,12/3/2026 11:10am,12/3/2026 11:33am,16/3/2026 5:52pm,18/3/2026 11:10am"
עסקי,"לימודים,כלים לעבודה,הוצאות שיווק,תשלום לספקים","31/1/2025 10:00pm,28/2/2025 10:00pm,28/2/2025 10:00pm,31/3/2025 9:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,30/6/2025 9:00pm,30/4/2025 9:00pm,30/6/2025 9:00pm,30/6/2025 9:00pm,31/12/2024 10:00pm,19/8/2025 9:00pm,30/8/2025 9:00pm,31/5/2025 9:00pm,31/3/2025 9:00pm,11/8/2025 9:00pm,31/8/2025 9:00pm,31/5/2025 9:00pm,1/8/2025 9:00pm,31/12/2024 10:00pm,31/5/2025 9:00pm,28/2/2025 10:00pm,30/4/2025 9:00pm,31/7/2025 9:00pm,31/12/2024 10:00pm,28/2/2025 10:00pm,28/2/2025 10:00pm,16/9/2025 9:00pm,29/7/2025 9:00pm,31/1/2025 10:00pm,30/6/2025 9:00pm,28/2/2025 10:00pm,31/12/2024 10:00pm,28/2/2025 10:00pm,31/8/2025 9:00pm,31/3/2025 9:00pm,31/3/2025 9:00pm,27/8/2025 9:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,31/12/2024 10:00pm,10/9/2025 9:00pm,31/3/2025 9:00pm,16/8/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,31/1/2025 10:00pm,11/8/2025 9:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,30/6/2025 9:00pm,28/7/2025 9:00pm,19/8/2025 9:00pm,31/5/2025 9:00pm,30/8/2025 9:00pm,27/7/2025 9:00pm,30/7/2025 9:00pm,31/3/2025 9:00pm,29/7/2025 9:00pm,31/3/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,28/2/2025 10:00pm,30/6/2025 9:00pm,30/4/2025 9:00pm,16/4/2025 9:00pm,30/4/2025 9:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,31/3/2025 9:00pm,30/4/2025 9:00pm,23/9/2025 9:00pm,19/9/2025 9:00pm,28/9/2025 9:00pm,29/9/2025 9:00pm,30/9/2025 9:00pm,10/10/2025 9:00pm,31/10/2025 10:00pm,2/11/2025 10:00pm,3/11/2025 10:00pm,3/11/2025 10:00pm,4/11/2025 10:00pm,4/11/2025 10:00pm,7/11/2025 10:00pm,10/11/2025 10:00pm,11/11/2025 10:00pm,14/11/2025 10:00pm,24/11/2025 10:00pm,7/11/2025 10:00pm,30/11/2025 10:00pm,29/11/2025 10:00pm,11/12/2025 10:00pm,31/12/2025 10:00pm,3/1/2026 10:00pm,11/1/2026 10:00pm,8/1/2026 10:00pm,30/12/2025 10:00pm,31/1/2026 4:17pm,1/2/2026 5:31am,5/2/2026 7:57pm,10/2/2026 7:59pm,27/1/2026 6:41pm,14/2/2026 7:02pm,1/3/2026 5:20pm,28/2/2026 7:04pm",כלים עסקיים,
פנאי,"אטרקציות,טיולים,חופשות,בילויים,תאילנד","31/5/2025 9:00pm,14/9/2025 9:00pm,31/8/2025 9:00pm,31/12/2024 10:00pm,31/3/2025 9:00pm,31/12/2024 10:00pm,30/4/2025 9:00pm,10/8/2025 9:00pm,14/9/2025 9:00pm,13/7/2025 9:00pm,12/9/2025 9:00pm,13/9/2025 9:00pm,13/7/2025 9:00pm,13/7/2025 9:00pm,18/9/2025 9:00pm,9/10/2025 9:00pm,9/10/2025 9:00pm,31/10/2025 10:00pm,12/11/2025 10:00pm,24/11/2025 10:00pm,13/12/2025 10:00pm,13/12/2025 10:00pm,28/11/2025 10:00pm,7/12/2025 10:00pm,10/12/2025 10:00pm,10/12/2025 10:00pm,21/12/2025 10:00pm,16/12/2025 10:00pm,23/1/2026 10:00pm,19/12/2025 10:00pm,13/12/2025 10:00pm,30/12/2025 10:00pm,27/12/2025 10:00pm,4/1/2026 10:00pm,27/12/2025 10:00pm,21/1/2026 6:22pm",,
טיפוח אישי,"בגדים,נעליים,פארם וטיפוח,ציפורניים","31/5/2025 9:00pm,21/8/2025 9:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,23/8/2025 9:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,25/9/2025 9:00pm,9/10/2025 9:00pm,12/10/2025 9:00pm","תספורת,ציפורניים,פארם ","19/2/2026 7:53am,15/3/2026 12:36pm"
הוצאות משתנות,"מיצי,מנוי חיפה,תספורת,טבק,ווייד,מתנות","30/4/2025 9:00pm,28/2/2025 10:00pm,30/4/2025 9:00pm,31/1/2025 10:00pm,2/8/2025 9:00pm,31/12/2024 10:00pm,31/8/2025 9:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,31/1/2025 10:00pm,28/2/2025 10:00pm,18/7/2025 9:00pm,9/8/2025 9:00pm,31/12/2024 10:00pm,31/5/2025 9:00pm,31/3/2025 9:00pm,31/1/2025 10:00pm,7/9/2025 9:00pm,28/2/2025 10:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,31/12/2024 10:00pm,30/4/2025 9:00pm,30/6/2025 9:00pm,27/8/2025 9:00pm,31/5/2025 9:00pm,31/3/2025 9:00pm,16/7/2025 9:00pm,6/8/2025 9:00pm,31/5/2025 9:00pm,3/8/2025 9:00pm,8/9/2025 9:00pm,28/2/2025 10:00pm,7/8/2025 9:00pm,28/2/2025 10:00pm,21/8/2025 9:00pm,31/3/2025 9:00pm,31/12/2024 10:00pm,31/1/2025 10:00pm,13/9/2025 9:00pm,31/1/2025 10:00pm,27/8/2025 9:00pm,21/9/2025 9:00pm,15/9/2025 9:00pm,3/10/2025 9:00pm,1/10/2025 9:00pm,9/10/2025 9:00pm,15/10/2025 9:00pm,15/10/2025 9:00pm,17/10/2025 9:00pm,23/10/2025 9:00pm,27/10/2025 10:00pm,28/10/2025 10:00pm,25/10/2025 11:00pm,29/10/2025 10:00pm,29/10/2025 10:00pm,1/11/2025 10:00pm,6/11/2025 10:00pm,14/11/2025 10:00pm,14/11/2025 10:00pm,14/11/2025 10:00pm,14/11/2025 10:00pm,19/11/2025 10:00pm,19/11/2025 10:00pm,20/11/2025 10:00pm,22/11/2025 10:00pm,22/11/2025 10:00pm,27/11/2025 10:00pm,8/12/2025 10:00pm,14/12/2025 10:00pm,1/1/2026 10:00pm,1/1/2026 10:00pm,10/1/2026 10:00pm,12/1/2026 10:00pm,31/1/2026 8:09pm,3/2/2026 3:37pm,22/1/2026 3:37pm,30/1/2026 6:47pm,31/1/2026 6:49pm,31/1/2026 6:51pm,4/2/2026 7:19pm,19/2/2026 5:02pm,19/2/2026 5:05pm,25/2/2026 6:30pm,27/2/2026 1:22pm,6/3/2026 8:08am,12/3/2026 1:24pm,12/3/2026 7:41pm,17/3/2026 4:07pm","מנוי חיפה,טבק,וויד","12/3/2026 11:06am,12/3/2026 8:26pm"
בריאות,"ביטוח בריאות,ביטוח מכבי,פסיכולוגית,תרופות,טיפולי שיניים","17/8/2025 9:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,28/2/2025 10:00pm,16/9/2025 9:00pm,19/8/2025 9:00pm,31/5/2025 9:00pm,30/6/2025 9:00pm,17/7/2025 9:00pm,2/8/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,31/12/2024 10:00pm,30/6/2025 9:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,30/4/2025 9:00pm,31/3/2025 9:00pm,2/9/2025 9:00pm,23/7/2025 9:00pm,28/2/2025 10:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,2/10/2025 9:00pm,7/10/2025 9:00pm,14/10/2025 9:00pm,2/11/2025 10:00pm,9/11/2025 10:00pm,9/11/2025 10:00pm,11/11/2025 10:00pm,1/12/2025 10:00pm,2/12/2025 10:00pm,2/12/2025 10:00pm,3/1/2026 10:00pm,3/1/2026 10:00pm,6/1/2026 10:00pm,5/2/2026 7:58pm,16/1/2026 6:19pm,3/2/2026 6:54pm,25/2/2026 5:52pm,3/3/2026 6:54pm","מכבי שלי,פסיכולוגית,תרופות,ביטוח בריאות","1/3/2026 9:21am,3/3/2026 12:00pm,9/3/2026 3:33pm"
תקשורת,"אפל,גוגל,סלולר,אינטרנט","31/3/2025 9:00pm,28/2/2025 10:00pm,30/6/2025 9:00pm,24/8/2025 9:00pm,30/6/2025 9:00pm,17/7/2025 9:00pm,31/3/2025 9:00pm,18/8/2025 9:00pm,31/3/2025 9:00pm,31/1/2025 10:00pm,31/12/2024 10:00pm,7/8/2025 9:00pm,30/4/2025 9:00pm,31/5/2025 9:00pm,7/9/2025 9:00pm,30/4/2025 9:00pm,31/12/2024 10:00pm,28/2/2025 10:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,29/8/2025 9:00pm,31/12/2024 10:00pm,31/5/2025 9:00pm,14/8/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,28/2/2025 10:00pm,23/7/2025 9:00pm,30/6/2025 9:00pm,18/9/2025 9:00pm,24/9/2025 9:00pm,18/9/2025 9:00pm,26/9/2025 9:00pm,7/10/2025 9:00pm,19/10/2025 9:00pm,18/10/2025 9:00pm,23/10/2025 9:00pm,7/11/2025 10:00pm,17/11/2025 10:00pm,23/11/2025 10:00pm,18/11/2025 10:00pm,17/12/2025 10:00pm,18/12/2025 10:00pm,30/12/2025 10:00pm,23/12/2025 10:00pm,6/2/2026 8:21am,8/2/2026 6:27am,11/2/2026 7:45pm,18/2/2026 6:21pm,7/2/2026 7:20pm,4/3/2026 2:56pm,18/1/2026 6:21pm,18/3/2026 6:21pm,23/1/2026 10:00pm,23/2/2026 10:00pm,17/3/2026 10:00pm","סלולר,אינטרנט,נטפליקס,אפל יובי",
חתונה,"ספקים,מקדמות,הלבשה,עיצוב,אחר","4/8/2025 9:00pm,15/9/2025 9:00pm,2/7/2025 9:00pm,3/6/2025 9:00pm,16/9/2025 9:00pm,15/9/2025 9:00pm,31/8/2025 9:00pm,31/8/2025 9:00pm,11/8/2025 9:00pm,19/7/2025 9:00pm,13/8/2025 9:00pm,20/9/2025 9:00pm,20/9/2025 9:00pm,4/10/2025 9:00pm,9/10/2025 9:00pm,14/10/2025 9:00pm,15/10/2025 9:00pm,6/11/2025 10:00pm",,