תת-קטגוריות,לינק לקטגוריה,כל התנועות,כל התנועות יובי
משכורת,הכנסות,"9/5/2025 9:00pm,9/8/2025 9:00pm,9/1/2025 10:00pm,31/7/2025 9:00pm,9/7/2025 9:00pm,9/6/2025 9:00pm,9/2/2025 10:00pm,8/9/2025 9:00pm,9/3/2025 10:00pm,9/4/2025 9:00pm,11/10/2025 9:00pm,9/11/2025 10:00pm,8/12/2025 10:00pm,9/1/2026 10:00pm,10/2/2026 7:38pm,9/3/2026 11:42pm",
יובי העברות,הכנסות,"16/9/2025 9:00pm,9/4/2025 9:00pm,9/2/2025 10:00pm,9/8/2025 9:00pm,9/7/2025 9:00pm,9/3/2025 10:00pm,9/6/2025 9:00pm,9/1/2025 10:00pm,9/5/2025 9:00pm,11/10/2025 9:00pm,12/11/2025 10:00pm",
ביט+פייבוקס,הכנסות,"9/4/2025 9:00pm,9/1/2025 10:00pm,9/3/2025 10:00pm,9/2/2025 10:00pm,6/11/2025 10:00pm,13/11/2025 10:00pm",
זיכויים,הכנסות,"9/5/2025 9:00pm,9/2/2025 10:00pm,8/9/2025 9:00pm,22/12/2025 10:00pm,4/2/2026 8:17am",
עסק צדדי,הכנסות,"9/3/2025 10:00pm,27/9/2025 9:00pm,8/12/2025 10:00pm",
הכנסות חד פעמיות,הכנסות,"9/5/2025 9:00pm,2/8/2025 9:00pm,19/9/2025 9:00pm,25/9/2025 9:00pm,25/10/2025 11:00pm,22/10/2025 9:00pm,26/11/2025 10:00pm,8/12/2025 10:00pm,23/12/2025 10:00pm",
ביטוח,רכב,"31/12/2024 10:00pm,31/3/2025 9:00pm,31/7/2025 9:00pm,31/5/2025 9:00pm,28/2/2025 10:00pm,30/6/2025 9:00pm,10/9/2025 9:00pm,30/4/2025 9:00pm,31/1/2025 10:00pm,8/11/2025 10:00pm,14/11/2025 10:00pm,14/1/2026 10:00pm,14/12/2025 10:00pm,14/2/2026 10:00pm,14/3/2026 10:00pm",
דלק,רכב,"31/3/2025 9:00pm,22/7/2025 9:00pm,31/1/2025 10:00pm,30/8/2025 9:00pm,20/8/2025 9:00pm,30/6/2025 9:00pm,30/4/2025 9:00pm,13/9/2025 9:00pm,3/8/2025 9:00pm,18/8/2025 9:00pm,29/8/2025 9:00pm,28/2/2025 10:00pm,31/5/2025 9:00pm,2/10/2025 9:00pm,11/10/2025 9:00pm,25/10/2025 11:00pm,3/11/2025 10:00pm,19/11/2025 10:00pm,4/12/2025 10:00pm,9/1/2026 10:00pm,7/2/2026 12:08pm,26/1/2026 6:34pm,19/2/2026 6:14pm,1/3/2026 6:50pm,18/3/2026 4:04pm",
חניה,רכב,"7/10/2025 9:00pm,11/10/2025 9:00pm,17/11/2025 10:00pm,27/1/2026 6:42pm,10/2/2026 6:58pm",
דוחות,רכב,"31/5/2025 9:00pm,31/3/2025 9:00pm,30/4/2025 9:00pm,9/10/2025 9:00pm",
טסט,רכב,"30/6/2025 9:00pm,23/6/2025 9:00pm,31/8/2025 9:00pm",
טיפולים,רכב,"23/8/2025 9:00pm,28/2/2025 10:00pm,28/10/2025 10:00pm",
תיקונים,רכב,"30/6/2025 9:00pm,18/8/2025 9:00pm,30/4/2025 9:00pm,25/9/2025 9:00pm,9/10/2025 9:00pm,14/10/2025 9:00pm,27/10/2025 10:00pm,6/11/2025 10:00pm,7/12/2025 10:00pm",
שטיפה,רכב,"8/9/2025 9:00pm,30/6/2025 9:00pm,18/8/2025 9:00pm,17/7/2025 9:00pm,18/8/2025 9:00pm,23/9/2025 9:00pm,14/10/2025 9:00pm,22/10/2025 9:00pm,27/11/2025 10:00pm,4/12/2025 10:00pm,30/1/2026 6:49pm,20/2/2026 2:59pm",
כביש 6,רכב,"30/6/2025 9:00pm,20/7/2025 9:00pm,31/5/2025 9:00pm,20/9/2025 9:00pm,26/2/2026 10:55am",
שכר דירה,בית,"30/6/2025 9:00pm,31/3/2025 9:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,9/9/2025 9:00pm,31/7/2025 9:00pm,28/2/2025 10:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,12/10/2025 9:00pm,9/11/2025 10:00pm,9/12/2025 10:00pm,9/1/2026 10:00pm,10/2/2026 11:12pm,10/3/2026 12:56pm",
חשמל,בית,"2/8/2025 9:00pm,18/8/2025 9:00pm,28/2/2025 10:00pm,23/10/2025 9:00pm,5/1/2026 10:00pm",
מים,בית,6/1/2026 10:00pm,
תיקונים,בית,8/2/2026 8:01am,
רהיטים,בית,"31/5/2025 9:00pm,1/10/2025 9:00pm,5/10/2025 9:00pm,15/10/2025 9:00pm,24/10/2025 9:00pm,14/11/2025 10:00pm",
מכשירי חשמל,בית,"31/7/2025 9:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,7/9/2025 9:00pm,31/3/2025 9:00pm,2/8/2025 9:00pm,31/7/2025 9:00pm,9/1/2026 10:00pm,3/2/2026 6:58pm,6/3/2026 8:26am",
אלי אקספרס,בית,"9/8/2025 9:00pm,31/1/2025 10:00pm,7/11/2025 10:00pm,13/3/2026 1:03am,13/3/2026 1:05am","21/2/2026 5:51pm,26/2/2026 6:18pm"
סופר,אוכל,"30/6/2025 9:00pm,31/5/2025 9:00pm,29/8/2025 9:00pm,17/8/2025 9:00pm,18/8/2025 9:00pm,9/8/2025 9:00pm,30/4/2025 9:00pm,28/2/2025 10:00pm,31/3/2025 9:00pm,20/8/2025 9:00pm,31/1/2025 10:00pm,18/8/2025 9:00pm,13/9/2025 9:00pm,8/8/2025 9:00pm,31/12/2024 10:00pm,30/9/2025 9:00pm,9/10/2025 9:00pm,15/10/2025 9:00pm,12/11/2025 10:00pm,6/11/2025 10:00pm,14/11/2025 10:00pm,13/12/2025 10:00pm,6/12/2025 10:00pm,30/12/2025 10:00pm,17/12/2025 10:00pm,6/1/2026 10:00pm,11/2/2026 6:01pm,14/2/2026 7:18pm,28/2/2026 8:36am,2/3/2026 7:27am,2/3/2026 7:33am,7/3/2026 11:16am,14/3/2026 11:29am","21/2/2026 5:50pm,23/2/2026 9:54am,2/3/2026 7:13am,4/3/2026 1:23pm,12/3/2026 11:33am,16/3/2026 5:52pm"
אוכל בחוץ,אוכל,"6/8/2025 9:00pm,19/8/2025 9:00pm,29/8/2025 9:00pm,18/8/2025 9:00pm,30/7/2025 9:00pm,8/9/2025 9:00pm,27/8/2025 9:00pm,10/8/2025 9:00pm,8/9/2025 9:00pm,29/8/2025 9:00pm,25/7/2025 9:00pm,23/7/2025 9:00pm,29/8/2025 9:00pm,17/7/2025 9:00pm,31/1/2025 10:00pm,20/8/2025 9:00pm,15/9/2025 9:00pm,18/8/2025 9:00pm,23/8/2025 9:00pm,10/9/2025 9:00pm,28/2/2025 10:00pm,28/8/2025 9:00pm,2/9/2025 9:00pm,16/9/2025 9:00pm,19/7/2025 9:00pm,31/5/2025 9:00pm,15/7/2025 9:00pm,30/4/2025 9:00pm,31/12/2024 10:00pm,31/3/2025 9:00pm,12/8/2025 9:00pm,19/8/2025 9:00pm,30/7/2025 9:00pm,30/6/2025 9:00pm,3/8/2025 9:00pm,29/9/2025 9:00pm,4/10/2025 9:00pm,11/10/2025 9:00pm,9/10/2025 9:00pm,15/10/2025 9:00pm,21/10/2025 9:00pm,28/10/2025 10:00pm,4/11/2025 10:00pm,5/11/2025 10:00pm,11/11/2025 10:00pm,12/11/2025 10:00pm,17/11/2025 10:00pm,18/11/2025 10:00pm,22/11/2025 10:00pm,25/11/2025 10:00pm,26/11/2025 10:00pm,13/12/2025 10:00pm,27/11/2025 10:00pm,3/12/2025 10:00pm,29/12/2025 10:00pm,3/1/2026 10:00pm,3/2/2026 1:28pm,7/2/2026 5:19pm,9/2/2026 6:12pm,12/2/2026 11:22am,13/2/2026 7:41am,17/1/2026 6:19pm,22/1/2026 11:22am,24/1/2026 6:27pm,28/1/2026 6:44pm,29/1/2026 6:46pm,25/2/2026 12:05pm,26/2/2026 12:23pm,4/3/2026 9:18pm,4/3/2026 9:24pm,12/3/2026 1:25pm,12/3/2026 8:19pm,13/3/2026 11:42am,13/3/2026 11:45am","17/2/2026 8:21pm,27/2/2026 12:53pm"
מסעדות ומשלוחים,אוכל,"15/9/2025 9:00pm,22/8/2025 9:00pm,13/7/2025 9:00pm,22/10/2025 9:00pm,31/10/2025 10:00pm,12/11/2025 10:00pm,14/12/2025 10:00pm",
מזדמנים,אוכל,"30/4/2025 9:00pm,29/8/2025 9:00pm,3/9/2025 9:00pm,29/8/2025 9:00pm,14/8/2025 9:00pm,29/8/2025 9:00pm,13/9/2025 9:00pm,22/7/2025 9:00pm,7/10/2025 9:00pm,7/10/2025 9:00pm,8/10/2025 9:00pm,14/10/2025 9:00pm,16/10/2025 9:00pm,25/10/2025 11:00pm,30/10/2025 10:00pm,8/11/2025 10:00pm,16/11/2025 10:00pm,21/11/2025 10:00pm,4/12/2025 10:00pm,4/1/2026 10:00pm,7/1/2026 10:00pm,13/2/2026 6:34am,13/2/2026 11:27am,14/2/2026 10:58am,22/1/2026 6:24pm,20/2/2026 2:42pm,1/3/2026 9:21am,8/3/2026 10:22am,12/3/2026 8:35pm,16/3/2026 12:14pm","24/2/2026 9:33am,27/2/2026 12:54pm,4/3/2026 9:52am,4/3/2026 6:32pm,6/3/2026 10:51am,10/3/2026 10:42am,10/3/2026 11:19am,12/3/2026 11:10am,18/3/2026 11:10am"
לימודים,עסקי,"30/4/2025 9:00pm,28/2/2025 10:00pm,31/7/2025 9:00pm,31/12/2024 10:00pm,31/1/2025 10:00pm,10/9/2025 9:00pm,31/3/2025 9:00pm,31/5/2025 9:00pm,30/6/2025 9:00pm,10/10/2025 9:00pm,2/11/2025 10:00pm,7/11/2025 10:00pm,10/11/2025 10:00pm,3/1/2026 10:00pm,5/2/2026 7:57pm",
כלים לעבודה,עסקי,"31/1/2025 10:00pm,28/2/2025 10:00pm,31/3/2025 9:00pm,31/1/2025 10:00pm,30/6/2025 9:00pm,30/4/2025 9:00pm,30/6/2025 9:00pm,30/6/2025 9:00pm,31/12/2024 10:00pm,19/8/2025 9:00pm,30/8/2025 9:00pm,31/5/2025 9:00pm,31/3/2025 9:00pm,11/8/2025 9:00pm,31/8/2025 9:00pm,31/5/2025 9:00pm,1/8/2025 9:00pm,31/12/2024 10:00pm,30/4/2025 9:00pm,28/2/2025 10:00pm,28/2/2025 10:00pm,16/9/2025 9:00pm,31/1/2025 10:00pm,28/2/2025 10:00pm,31/12/2024 10:00pm,28/2/2025 10:00pm,31/8/2025 9:00pm,31/3/2025 9:00pm,31/3/2025 9:00pm,27/8/2025 9:00pm,30/4/2025 9:00pm,31/12/2024 10:00pm,16/8/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,31/1/2025 10:00pm,11/8/2025 9:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,30/6/2025 9:00pm,28/7/2025 9:00pm,19/8/2025 9:00pm,30/8/2025 9:00pm,27/7/2025 9:00pm,30/7/2025 9:00pm,31/3/2025 9:00pm,29/7/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,28/2/2025 10:00pm,30/4/2025 9:00pm,16/4/2025 9:00pm,30/4/2025 9:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,31/3/2025 9:00pm,23/9/2025 9:00pm,19/9/2025 9:00pm,28/9/2025 9:00pm,29/9/2025 9:00pm,30/9/2025 9:00pm,31/10/2025 10:00pm,3/11/2025 10:00pm,3/11/2025 10:00pm,4/11/2025 10:00pm,4/11/2025 10:00pm,11/11/2025 10:00pm,14/11/2025 10:00pm,24/11/2025 10:00pm,7/11/2025 10:00pm,29/11/2025 10:00pm,11/12/2025 10:00pm,11/1/2026 10:00pm,30/12/2025 10:00pm,31/1/2026 4:17pm,1/2/2026 5:31am,10/2/2026 7:59pm,27/1/2026 6:41pm,14/2/2026 7:02pm,1/3/2026 5:20pm",
הוצאות שיווק,עסקי,"28/2/2025 10:00pm,31/5/2025 9:00pm,30/6/2025 9:00pm,31/3/2025 9:00pm,30/4/2025 9:00pm,8/1/2026 10:00pm",
תשלום לספקים,עסקי,"29/7/2025 9:00pm,30/11/2025 10:00pm",
אטרקציות,פנאי,"28/11/2025 10:00pm,4/1/2026 10:00pm",
טיולים,פנאי,31/12/2024 10:00pm,
חופשות,פנאי,"31/5/2025 9:00pm,31/12/2024 10:00pm,31/3/2025 9:00pm,30/4/2025 9:00pm,13/7/2025 9:00pm",
תאילנד,פנאי,"9/10/2025 9:00pm,18/9/2025 9:00pm,14/9/2025 9:00pm,14/9/2025 9:00pm,13/9/2025 9:00pm,12/9/2025 9:00pm,10/8/2025 9:00pm,9/10/2025 9:00pm,31/10/2025 10:00pm,12/11/2025 10:00pm,24/11/2025 10:00pm,13/12/2025 10:00pm,13/12/2025 10:00pm,7/12/2025 10:00pm,10/12/2025 10:00pm,10/12/2025 10:00pm,21/12/2025 10:00pm,16/12/2025 10:00pm,23/1/2026 10:00pm,19/12/2025 10:00pm,13/12/2025 10:00pm,30/12/2025 10:00pm,27/12/2025 10:00pm,27/12/2025 10:00pm",
בילויים,פנאי,"31/8/2025 9:00pm,13/7/2025 9:00pm,13/7/2025 9:00pm",
בגדים,טיפוח אישי,"31/5/2025 9:00pm,21/8/2025 9:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,12/10/2025 9:00pm,14/10/2025 9:00pm",
נעליים,טיפוח אישי,,
פארם וטיפוח,טיפוח אישי,"23/8/2025 9:00pm,9/10/2025 9:00pm",
מיצי,הוצאות משתנות,"30/4/2025 9:00pm,28/2/2025 10:00pm,31/12/2024 10:00pm,18/7/2025 9:00pm,31/3/2025 9:00pm,27/8/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,14/11/2025 10:00pm,22/11/2025 10:00pm,22/11/2025 10:00pm,4/2/2026 7:19pm",
מנוי חיפה,הוצאות משתנות,"31/8/2025 9:00pm,31/1/2025 10:00pm,28/2/2025 10:00pm,30/6/2025 9:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,15/9/2025 9:00pm,15/10/2025 9:00pm,14/11/2025 10:00pm,14/12/2025 10:00pm",
תספורת,הוצאות משתנות,"2/8/2025 9:00pm,31/1/2025 10:00pm,28/2/2025 10:00pm,31/12/2024 10:00pm,31/5/2025 9:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,30/4/2025 9:00pm,8/9/2025 9:00pm,25/9/2025 9:00pm,15/10/2025 9:00pm,29/10/2025 10:00pm,6/11/2025 10:00pm,20/11/2025 10:00pm,8/12/2025 10:00pm,1/1/2026 10:00pm,12/1/2026 10:00pm,3/2/2026 3:37pm,22/1/2026 3:37pm,19/2/2026 5:02pm,6/3/2026 8:08am,17/3/2026 4:07pm",
טבק,הוצאות משתנות,"30/4/2025 9:00pm,31/1/2025 10:00pm,31/12/2024 10:00pm,31/3/2025 9:00pm,16/7/2025 9:00pm,6/8/2025 9:00pm,13/9/2025 9:00pm,27/8/2025 9:00pm",
ווייד,הוצאות משתנות,"31/1/2026 8:09pm,19/2/2026 5:05pm,25/2/2026 6:30pm,12/3/2026 7:41pm",
מתנות,הוצאות משתנות,"31/5/2025 9:00pm,9/8/2025 9:00pm,7/9/2025 9:00pm,31/12/2024 10:00pm,3/8/2025 9:00pm,7/8/2025 9:00pm,28/2/2025 10:00pm,21/8/2025 9:00pm,31/3/2025 9:00pm,31/1/2025 10:00pm,21/9/2025 9:00pm,3/10/2025 9:00pm,1/10/2025 9:00pm,17/10/2025 9:00pm,23/10/2025 9:00pm,27/10/2025 10:00pm,1/11/2025 10:00pm,14/11/2025 10:00pm,14/11/2025 10:00pm,19/11/2025 10:00pm,27/11/2025 10:00pm,1/1/2026 10:00pm,30/1/2026 6:47pm,27/2/2026 1:22pm,12/3/2026 1:24pm",
ביטוח בריאות,בריאות,"2/8/2025 9:00pm,30/6/2025 9:00pm,2/9/2025 9:00pm,2/10/2025 9:00pm,2/11/2025 10:00pm,2/12/2025 10:00pm,3/1/2026 10:00pm,3/2/2026 6:54pm,3/3/2026 6:54pm",
ביטוח מכבי,בריאות,"17/8/2025 9:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,31/3/2025 9:00pm,28/2/2025 10:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,9/11/2025 10:00pm,3/1/2026 10:00pm",
פסיכולוגית,בריאות,"28/2/2025 10:00pm,16/9/2025 9:00pm,19/8/2025 9:00pm,30/6/2025 9:00pm,31/5/2025 9:00pm,31/12/2024 10:00pm,31/1/2025 10:00pm,30/4/2025 9:00pm,23/7/2025 9:00pm,14/10/2025 9:00pm,11/11/2025 10:00pm,2/12/2025 10:00pm,6/1/2026 10:00pm,5/2/2026 7:58pm,25/2/2026 5:52pm",
תרופות,בריאות,"31/1/2025 10:00pm,30/4/2025 9:00pm,31/5/2025 9:00pm,17/7/2025 9:00pm,7/10/2025 9:00pm,9/11/2025 10:00pm,1/12/2025 10:00pm,16/1/2026 6:19pm",
טיפולי שיניים,בריאות,,
אפל,תקשורת,"31/3/2025 9:00pm,31/1/2025 10:00pm,7/8/2025 9:00pm,7/9/2025 9:00pm,30/4/2025 9:00pm,31/12/2024 10:00pm,31/5/2025 9:00pm,28/2/2025 10:00pm,30/6/2025 9:00pm,26/9/2025 9:00pm,7/10/2025 9:00pm,7/11/2025 10:00pm,30/12/2025 10:00pm,8/2/2026 6:27am,7/2/2026 7:20pm",
גוגל,תקשורת,"18/8/2025 9:00pm,18/9/2025 9:00pm,18/10/2025 9:00pm,18/11/2025 10:00pm,18/12/2025 10:00pm,11/2/2026 7:45pm",
סלולר,תקשורת,"28/2/2025 10:00pm,24/8/2025 9:00pm,30/6/2025 9:00pm,31/3/2025 9:00pm,31/12/2024 10:00pm,30/4/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,23/7/2025 9:00pm,24/9/2025 9:00pm,23/10/2025 9:00pm,23/11/2025 10:00pm,23/12/2025 10:00pm,23/1/2026 10:00pm,23/2/2026 10:00pm,17/3/2026 10:00pm",
אינטרנט,תקשורת,"30/6/2025 9:00pm,17/7/2025 9:00pm,31/3/2025 9:00pm,28/2/2025 10:00pm,30/4/2025 9:00pm,29/8/2025 9:00pm,31/12/2024 10:00pm,14/8/2025 9:00pm,31/5/2025 9:00pm,31/1/2025 10:00pm,18/9/2025 9:00pm,19/10/2025 9:00pm,17/11/2025 10:00pm,17/12/2025 10:00pm,6/2/2026 8:21am,18/2/2026 6:21pm,4/3/2026 2:56pm,18/1/2026 6:21pm,18/3/2026 6:21pm",
ספקים,חתונה,"6/11/2025 10:00pm,31/12/2025 10:00pm",
מקדמות,חתונה,"3/6/2025 9:00pm,11/8/2025 9:00pm,15/10/2025 9:00pm",
הלבשה,חתונה,"4/8/2025 9:00pm,15/9/2025 9:00pm,2/7/2025 9:00pm,16/9/2025 9:00pm,31/8/2025 9:00pm,31/8/2025 9:00pm,19/7/2025 9:00pm,13/8/2025 9:00pm,20/9/2025 9:00pm,20/9/2025 9:00pm",
עיצוב,חתונה,"15/9/2025 9:00pm,4/10/2025 9:00pm,9/10/2025 9:00pm",
אחר,חתונה,"9/10/2025 9:00pm,28/10/2025 10:00pm,25/10/2025 11:00pm,29/10/2025 10:00pm,19/11/2025 10:00pm,31/12/2025 10:00pm,10/1/2026 10:00pm,16/1/2026 6:18pm,21/1/2026 6:22pm,31/1/2026 6:51pm,13/3/2026 6:56pm,28/2/2026 7:04pm",
חנייה,,"31/1/2025 10:00pm,13/9/2025 9:00pm,31/3/2025 9:00pm,30/6/2025 9:00pm,28/2/2025 10:00pm,30/6/2025 9:00pm,26/7/2025 9:00pm,24/8/2025 9:00pm,26/8/2025 9:00pm,8/9/2025 9:00pm,29/8/2025 9:00pm,31/5/2025 9:00pm,17/3/2026 12:53pm",
וויד,,"31/5/2025 9:00pm,31/1/2025 10:00pm,28/2/2025 10:00pm,31/1/2026 6:49pm",
ציפורניים,טיפוח אישי,,
מסעדות,,"13/2/2026 7:45pm,14/2/2026 9:02am,14/2/2026 1:59pm",
משלוחים,,24/2/2026 10:23pm,"26/2/2026 6:27pm,1/3/2026 8:52pm"